date,temperature,humidity,precipitation,cloud_cover
2025-03-28,77.81,68.0,0.0,40.0
2025-03-14,75.6,75.0,0.0,75.0
2024-10-30,75.16,53.0,0.0,100.0
2024-10-29,76.46,45.0,0.0,100.0
2024-10-22,70.88,41.0,0.0,75.0
2024-10-21,72.79,34.0,0.0,75.0
2024-10-20,72.01,34.0,0.0,0.0
2024-10-11,76.15,38.0,0.0,75.0
2024-09-30,70.09,81.0,0.0,20.0
2024-09-27,70.66,66.0,0.0,100.0
2024-09-20,79.72,66.0,0.0,0.0
2024-09-18,77.0,48.0,0.0,75.0
2024-09-17,72.93,72.0,0.0,0.0
2024-09-16,77.88,53.0,0.0,96.0
2024-09-15,78.87,58.0,0.0,82.0
2024-09-14,78.1,64.0,0.0,75.0
2024-09-13,76.51,65.0,0.0,28.0
2024-09-12,76.17,62.0,0.0,100.0
2024-09-11,79.5,44.0,0.0,0.0
2024-09-10,78.15,32.0,0.0,40.0
2024-09-09,76.62,45.0,0.0,75.0
2024-09-04,76.64,51.0,0.0,0.0
2024-09-03,72.18,56.0,0.0,20.0
2024-08-30,79.18,70.0,0.03385826771653543,75.0
2024-08-29,77.14,79.0,0.0,20.0
2024-08-28,76.05,79.0,0.0,67.0
2024-08-23,78.49,47.0,0.0,75.0
2024-08-22,75.02,46.0,0.0,75.0
2024-08-19,70.56,60.0,0.0,20.0
2024-08-18,73.11,69.0,0.0,31.0
2024-08-17,73.72,84.0,0.0,75.0
2024-08-15,74.41,80.0,0.0,100.0
2024-08-14,79.7,56.0,0.0,75.0
2024-08-13,79.3,48.0,0.0,20.0
2024-08-12,78.31,44.0,0.0,40.0
2024-08-11,77.67,40.0,0.0,40.0
2024-08-10,72.9,44.0,0.0,40.0
2024-08-08,78.51,58.0,0.0,75.0
2024-08-07,74.32,58.0,0.0,20.0
2024-08-06,71.02,76.0,0.0,100.0
2024-08-05,75.92,76.0,0.0,49.0
2024-08-03,79.75,68.0,0.0,75.0
2024-07-29,78.33,76.0,0.0,45.0
2024-07-27,79.56,54.0,0.0,75.0
2024-07-26,76.78,57.0,0.0,0.0
2024-07-25,71.69,59.0,0.0,20.0
2024-07-24,71.29,70.0,0.0,75.0
2024-07-22,76.03,62.0,0.0,75.0
2024-07-21,76.26,61.0,0.0,75.0
2024-07-20,78.49,47.0,0.0,75.0
2024-07-19,74.8,49.0,0.0,20.0
2024-07-18,70.38,51.0,0.0,20.0
2024-07-17,73.62,58.0,0.0,40.0
2024-07-16,77.63,77.0,0.0,54.0
2024-07-12,79.32,59.0,0.0,20.0
2024-07-11,73.72,68.0,0.0,49.0
2024-07-10,74.21,67.0,0.0,75.0
2024-07-09,72.19,90.0,0.021259842519685043,100.0
2024-07-08,77.58,73.0,0.0,99.0
2024-07-07,74.73,83.0,0.07992125984251969,100.0
2024-07-06,77.67,48.0,0.0,40.0
2024-07-05,77.74,52.0,0.0,75.0
2024-07-04,77.72,74.0,0.0,10.0
2024-06-28,73.6,79.0,0.029921259842519688,100.0
2024-06-23,72.9,68.0,0.0,51.0
2024-06-11,70.99,45.0,0.0,53.0
2024-06-07,70.25,46.0,0.0,100.0
2024-06-06,73.99,40.0,0.0,75.0
2024-06-05,79.18,40.0,0.0,20.0
2024-06-04,77.54,60.0,0.0,100.0
2024-06-02,71.15,59.0,0.0,75.0
2024-05-31,73.45,44.0,0.0,100.0
2024-05-24,73.62,63.0,0.0,100.0
2024-05-23,73.98,38.0,0.0,20.0
2024-05-22,74.08,30.0,0.0,20.0
2024-05-21,79.47,49.0,0.0,44.0
2024-05-20,79.18,51.0,0.03661417322834646,77.0
2024-05-16,70.21,72.0,0.011811023622047244,75.0
2024-05-12,72.5,35.0,0.009055118110236222,75.0
2024-05-07,72.48,61.0,0.0,40.0
2024-05-04,73.87,57.0,0.03425196850393701,75.0
2024-05-01,72.16,30.0,0.0,75.0
2024-04-28,73.0,62.0,0.0,100.0
2024-04-27,75.56,65.0,0.0,75.0
2024-04-16,71.06,61.0,0.0,75.0
2024-04-08,71.04,38.0,0.0,20.0
